  0.508552706598535     
  3.71E-06  3.40E-10  2.49E-09  8.08E-09  2.59E-08  3.33E-08  1.05E-08  1.79E-07
  1.02E-06  3.52E-06  4.94E-06  3.76E-06  8.39E-07  4.01E-06  2.72E-05  5.68E-05
  8.76E-05  6.14E-05  1.28E-05  1.76E-05  1.20E-04  2.41E-04  2.46E-04  1.43E-04
  3.18E-05  1.18E-05  9.04E-05  1.78E-04  1.90E-04  1.17E-04  3.14E-05  5.08E-06
  4.88E-05  1.15E-04  1.35E-04  9.10E-05  3.12E-05  3.55E-06  2.78E-05  7.25E-05
  9.66E-05  7.35E-05  2.89E-05  4.24E-06  1.57E-05  4.89E-05  6.53E-05  5.64E-05
  2.77E-05  5.84E-06  9.22E-06  2.87E-05  4.62E-05  4.23E-05  2.36E-05  7.48E-06
  5.43E-06  1.70E-05  2.85E-05  3.00E-05  2.11E-05  9.21E-06  5.00E-06  8.94E-06
  1.62E-05  1.94E-05  1.56E-05  9.69E-06  5.85E-06  6.62E-06  9.20E-06  1.06E-05
  9.72E-06  6.92E-06  5.12E-06  5.10E-06  6.24E-06  6.82E-06  6.07E-06  4.64E-06
  3.46E-06  3.24E-06  3.53E-06  3.78E-06  3.51E-06  2.89E-06  2.31E-06  2.08E-06
  2.15E-06  2.20E-06  2.07E-06  1.74E-06  1.46E-06  1.31E-06  1.30E-06  1.27E-06
  1.20E-06  1.03E-06  8.79E-07  7.86E-07  7.78E-07  7.59E-07  7.02E-07  6.07E-07
  5.03E-07  4.62E-07  4.26E-07  4.17E-07  3.97E-07  3.57E-07  3.10E-07  2.73E-07
  2.61E-07  2.52E-07  2.35E-07  2.10E-07  1.88E-07  1.71E-07  1.62E-07  1.51E-07
  1.45E-07  1.35E-07  1.23E-07  1.12E-07  1.06E-07  1.01E-07  9.27E-08  8.87E-08
  8.15E-08  7.34E-08  6.90E-08  6.57E-08  6.01E-08  5.42E-08  5.26E-08  4.69E-08
  4.14E-08  3.89E-08  3.60E-08  3.20E-08  2.86E-08  2.51E-08  2.20E-08  1.90E-08
   1.00633295051178     
  4.20E-06  5.58E-10  2.36E-09  1.51E-09  3.12E-08  1.11E-07  4.26E-08  4.70E-07
  1.41E-06  5.89E-07  2.97E-06  8.80E-06  4.03E-06  9.29E-06  3.98E-05  1.80E-05
  2.11E-05  1.13E-04  6.23E-05  3.29E-05  2.03E-04  1.26E-04  2.83E-05  1.91E-04
  1.36E-04  2.05E-05  1.52E-04  1.31E-04  1.51E-05  1.09E-04  1.17E-04  1.48E-05
  7.63E-05  1.08E-04  1.76E-05  5.30E-05  9.20E-05  2.06E-05  3.69E-05  7.84E-05
  2.52E-05  2.62E-05  6.72E-05  2.68E-05  1.80E-05  5.65E-05  2.74E-05  1.32E-05
  4.40E-05  2.94E-05  1.09E-05  3.29E-05  2.79E-05  9.91E-06  2.44E-05  2.52E-05
  1.01E-05  1.79E-05  2.09E-05  1.05E-05  1.33E-05  1.64E-05  1.01E-05  1.01E-05
  1.25E-05  8.75E-06  8.53E-06  1.00E-05  6.73E-06  6.53E-06  7.70E-06  5.62E-06
  4.98E-06  5.58E-06  4.51E-06  3.82E-06  4.28E-06  3.44E-06  2.82E-06  3.09E-06
  2.60E-06  2.22E-06  2.30E-06  2.00E-06  1.65E-06  1.70E-06  1.49E-06  1.20E-06
  1.22E-06  1.10E-06  9.13E-07  8.71E-07  8.08E-07  6.74E-07  6.37E-07  5.85E-07
  4.92E-07  4.57E-07  4.28E-07  3.57E-07  3.35E-07  3.15E-07  2.68E-07  2.45E-07
  2.28E-07  2.08E-07  1.82E-07  1.71E-07  1.51E-07  1.37E-07  1.29E-07  1.14E-07
  1.01E-07  9.96E-08  8.65E-08  7.71E-08  7.73E-08  6.33E-08  6.47E-08  5.52E-08
  5.41E-08  5.02E-08  4.49E-08  4.27E-08  4.03E-08  3.59E-08  3.48E-08  3.15E-08
  2.85E-08  2.88E-08  2.45E-08  2.32E-08  2.27E-08  1.94E-08  1.82E-08  1.71E-08
  1.52E-08  1.36E-08  1.28E-08  1.13E-08  9.77E-09  8.81E-09  7.93E-09  6.66E-09
   1.50531112949916     
  4.67E-06  5.53E-10  1.30E-09  1.37E-08  1.61E-08  1.34E-07  8.60E-08  6.66E-07
  5.02E-07  2.57E-06  1.76E-06  6.16E-06  7.30E-06  1.41E-05  1.89E-05  2.35E-05
  5.45E-05  4.51E-05  9.83E-05  5.21E-05  1.62E-04  5.44E-05  1.77E-04  4.08E-05
  1.67E-04  3.68E-05  1.53E-04  2.91E-05  1.30E-04  2.85E-05  1.06E-04  3.04E-05
  8.84E-05  3.46E-05  7.20E-05  3.51E-05  5.54E-05  3.86E-05  4.36E-05  4.03E-05
  3.42E-05  4.19E-05  2.75E-05  4.10E-05  2.15E-05  4.00E-05  1.77E-05  3.70E-05
  1.56E-05  3.33E-05  1.43E-05  2.81E-05  1.38E-05  2.41E-05  1.30E-05  1.97E-05
  1.30E-05  1.64E-05  1.19E-05  1.34E-05  1.08E-05  1.13E-05  9.17E-06  9.27E-06
  7.97E-06  7.83E-06  6.99E-06  6.28E-06  5.76E-06  5.21E-06  4.78E-06  4.12E-06
  4.11E-06  3.34E-06  3.38E-06  2.76E-06  2.76E-06  2.25E-06  2.22E-06  1.83E-06
  1.84E-06  1.51E-06  1.49E-06  1.22E-06  1.18E-06  9.95E-07  9.65E-07  8.09E-07
  7.79E-07  6.60E-07  6.29E-07  5.44E-07  5.07E-07  4.42E-07  4.08E-07  3.55E-07
  3.35E-07  2.98E-07  2.73E-07  2.41E-07  2.20E-07  2.02E-07  1.76E-07  1.64E-07
  1.46E-07  1.36E-07  1.20E-07  1.10E-07  9.68E-08  9.04E-08  7.95E-08  7.34E-08
  6.56E-08  6.08E-08  5.43E-08  4.89E-08  4.53E-08  4.14E-08  3.74E-08  3.36E-08
  3.20E-08  2.92E-08  2.63E-08  2.39E-08  2.22E-08  2.07E-08  1.84E-08  1.70E-08
  1.58E-08  1.44E-08  1.31E-08  1.22E-08  1.12E-08  1.01E-08  9.37E-09  8.38E-09
  7.76E-09  6.90E-09  6.27E-09  5.64E-09  5.06E-09  4.38E-09  3.95E-09  3.42E-09
   2.00816579356152     
  5.09E-06  3.54E-10  4.88E-09  5.11E-09  4.59E-08  1.15E-07  1.35E-07  6.27E-07
