#---it--------t-------dt-------urms------umax------orms------omax------oum-------abm-------jbm-------brms------bmax------jrms------jmax-----divu2m-----epsK------epsM-----rumax----rhom-----bmx-------bmy-------bmz----
       0      0.00 1.07E-03 8.574E-02 3.535E-01 2.447E+01 1.021E+02  1.49E-04  0.00E+00  0.00E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 9.327E+00 1.222E-03 0.000E+00 3.54E-01  1.0000 0.000E+00 0.000E+00 0.000E+00
      10      0.01 1.08E-03 8.473E-02 3.370E-01 2.325E+01 9.657E+01  1.46E-04  0.00E+00  0.00E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.711E+00 1.089E-03 0.000E+00 3.35E-01  1.0000 0.000E+00 0.000E+00 0.000E+00
      20      0.02 1.08E-03 8.406E-02 3.339E-01 2.243E+01 9.481E+01  1.45E-04  0.00E+00  0.00E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.578E+00 1.010E-03 0.000E+00 3.31E-01  1.0000 0.000E+00 0.000E+00 0.000E+00
      30      0.03 1.09E-03 8.354E-02 3.348E-01 2.184E+01 9.606E+01  1.44E-04  0.00E+00  0.00E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 9.719E-01 9.570E-04 0.000E+00 3.31E-01  1.0000 0.000E+00 0.000E+00 0.000E+00
      40      0.04 1.08E-03 8.309E-02 3.358E-01 2.142E+01 9.926E+01  1.43E-04  0.00E+00  0.00E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 6.226E-01 9.195E-04 0.000E+00 3.34E-01  1.0000 0.000E+00 0.000E+00 0.000E+00
      50      0.05 1.09E-03 8.270E-02 3.273E-01 2.111E+01 1.011E+02  1.42E-04  0.00E+00  0.00E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 4.142E-01 8.925E-04 0.000E+00 3.26E-01  1.0000 0.000E+00 0.000E+00 0.000E+00
      60      0.07 1.09E-03 8.233E-02 3.294E-01 2.088E+01 1.024E+02  1.42E-04  0.00E+00  0.00E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.853E-01 8.727E-04 0.000E+00 3.28E-01  1.0000 0.000E+00 0.000E+00 0.000E+00
      70      0.08 1.09E-03 8.199E-02 3.222E-01 2.070E+01 1.026E+02  1.42E-04  0.00E+00  0.00E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.045E-01 8.581E-04 0.000E+00 3.21E-01  1.0000 0.000E+00 0.000E+00 0.000E+00
      80      0.09 1.09E-03 8.166E-02 3.240E-01 2.057E+01 1.049E+02  1.42E-04  0.00E+00  0.00E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.527E-01 8.470E-04 0.000E+00 3.22E-01  1.0000 0.000E+00 0.000E+00 0.000E+00
      90      0.10 1.10E-03 8.133E-02 3.101E-01 2.047E+01 1.055E+02  1.42E-04  0.00E+00  0.00E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.187E-01 8.385E-04 0.000E+00 3.09E-01  1.0000 0.000E+00 0.000E+00 0.000E+00
     100      0.11 1.09E-03 8.102E-02 3.043E-01 2.039E+01 1.037E+02  1.42E-04  0.00E+00  0.00E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 9.579E-02 8.319E-04 0.000E+00 3.03E-01  1.0000 0.000E+00 0.000E+00 0.000E+00
     110      0.12 1.10E-03 8.071E-02 3.039E-01 2.032E+01 1.139E+02  1.42E-04  0.00E+00  0.00E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 8.023E-02 8.266E-04 0.000E+00 3.02E-01  1.0000 0.000E+00 0.000E+00 0.000E+00
     120      0.13 1.10E-03 8.041E-02 3.026E-01 2.027E+01 1.261E+02  1.42E-04  0.00E+00  0.00E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 6.927E-02 8.223E-04 0.000E+00 3.01E-01  1.0000 0.000E+00 0.000E+00 0.000E+00
     130      0.14 1.11E-03 8.011E-02 3.049E-01 2.023E+01 1.307E+02  1.43E-04  0.00E+00  0.00E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 6.148E-02 8.187E-04 0.000E+00 3.03E-01  1.0000 0.000E+00 0.000E+00 0.000E+00
     140      0.15 1.11E-03 7.981E-02 2.984E-01 2.019E+01 1.275E+02  1.44E-04  0.00E+00  0.00E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 5.582E-02 8.157E-04 0.000E+00 2.97E-01  1.0000 0.000E+00 0.000E+00 0.000E+00
     150      0.16 1.11E-03 7.951E-02 2.981E-01 2.016E+01 1.170E+02  1.45E-04  0.00E+00  0.00E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 5.163E-02 8.131E-04 0.000E+00 2.96E-01  1.0000 0.000E+00 0.000E+00 0.000E+00
     160      0.18 1.11E-03 7.921E-02 3.004E-01 2.013E+01 1.222E+02  1.45E-04  0.00E+00  0.00E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 4.845E-02 8.107E-04 0.000E+00 2.99E-01  1.0000 0.000E+00 0.000E+00 0.000E+00
     170      0.19 1.11E-03 7.892E-02 3.018E-01 2.010E+01 1.240E+02  1.46E-04  0.00E+00  0.00E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 4.601E-02 8.086E-04 0.000E+00 2.99E-01  1.0000 0.000E+00 0.000E+00 0.000E+00
