#---it--------t-------dt-------urms------umax------orms------omax------oum-------abm-------jbm-------brms------bmax------jrms------jmax-----divu2m-----epsK------epsM-----rumax----rhom-----bmx-------bmy-------bmz----
     180      0.29 1.75E-03 1.189E-01 6.710E-01 3.131E+01 1.712E+02  1.02E-01  4.12E-04  1.92E+00 2.476E-01 1.170E+00 6.080E+01 4.601E+02 2.462E+01 5.041E-03 1.849E-02 7.18E-01  0.9940 2.179E-03 2.194E-03 2.061E-03
     190      0.31 1.80E-03 1.144E-01 6.641E-01 3.028E+01 1.686E+02  9.44E-02  4.12E-04  1.86E+00 2.439E-01 1.188E+00 5.918E+01 4.549E+02 2.257E+01 4.711E-03 1.751E-02 6.79E-01  0.9938 2.172E-03 2.184E-03 2.049E-03
     200      0.32 1.79E-03 1.103E-01 6.118E-01 2.928E+01 1.615E+02  8.82E-02  4.12E-04  1.81E+00 2.404E-01 1.155E+00 5.760E+01 4.499E+02 2.077E+01 4.403E-03 1.659E-02 6.11E-01  0.9937 2.164E-03 2.175E-03 2.039E-03
     210      0.34 1.82E-03 1.065E-01 5.834E-01 2.832E+01 1.742E+02  8.25E-02  4.11E-04  1.77E+00 2.371E-01 1.093E+00 5.606E+01 4.540E+02 1.915E+01 4.115E-03 1.571E-02 6.05E-01  0.9935 2.158E-03 2.166E-03 2.029E-03
     220      0.36 1.82E-03 1.029E-01 6.200E-01 2.738E+01 1.585E+02  7.74E-02  4.11E-04  1.72E+00 2.340E-01 1.032E+00 5.455E+01 4.709E+02 1.767E+01 3.844E-03 1.488E-02 6.03E-01  0.9934 2.151E-03 2.158E-03 2.020E-03
     230      0.38 1.84E-03 9.948E-02 6.231E-01 2.649E+01 1.507E+02  7.28E-02  4.11E-04  1.68E+00 2.310E-01 1.018E+00 5.311E+01 4.978E+02 1.638E+01 3.596E-03 1.411E-02 6.49E-01  0.9933 2.144E-03 2.150E-03 2.012E-03
     240      0.40 1.86E-03 9.637E-02 6.036E-01 2.564E+01 1.647E+02  6.89E-02  4.10E-04  1.64E+00 2.282E-01 9.896E-01 5.175E+01 5.235E+02 1.525E+01 3.370E-03 1.339E-02 5.94E-01  0.9932 2.137E-03 2.143E-03 2.005E-03
     250      0.42 1.85E-03 9.341E-02 6.095E-01 2.483E+01 1.535E+02  6.52E-02  4.10E-04  1.60E+00 2.256E-01 1.002E+00 5.043E+01 4.890E+02 1.420E+01 3.158E-03 1.271E-02 5.80E-01  0.9931 2.130E-03 2.136E-03 1.998E-03
     260      0.43 1.85E-03 9.065E-02 5.871E-01 2.405E+01 1.489E+02  6.18E-02  4.10E-04  1.57E+00 2.230E-01 9.892E-01 4.916E+01 4.158E+02 1.326E+01 2.962E-03 1.209E-02 6.56E-01  0.9930 2.124E-03 2.129E-03 1.990E-03
     270      0.45 1.93E-03 8.810E-02 5.581E-01 2.332E+01 1.458E+02  5.88E-02  4.09E-04  1.54E+00 2.206E-01 1.012E+00 4.798E+01 3.942E+02 1.243E+01 2.784E-03 1.151E-02 5.64E-01  0.9929 2.118E-03 2.123E-03 1.983E-03
     280      0.47 1.94E-03 8.564E-02 5.676E-01 2.260E+01 1.419E+02  5.60E-02  4.09E-04  1.50E+00 2.182E-01 9.946E-01 4.681E+01 4.097E+02 1.164E+01 2.616E-03 1.096E-02 5.72E-01  0.9929 2.113E-03 2.116E-03 1.976E-03
     290      0.49 1.87E-03 8.333E-02 5.525E-01 2.192E+01 1.353E+02  5.35E-02  4.09E-04  1.47E+00 2.159E-01 1.011E+00 4.570E+01 4.051E+02 1.092E+01 2.461E-03 1.044E-02 5.71E-01  0.9928 2.107E-03 2.110E-03 1.970E-03
#---it--------t-------dt-------urms------umax------orms------omax------oum-------abm-------jbm-------brms------bmax------jrms------jmax-----divu2m-----epsK------epsM-----rumax----rhom-----bmx-------bmy-------bmz----
       0      0.51 1.93E-03 8.121E-02 5.791E-01 2.129E+01 1.364E+02  5.12E-02  4.09E-04  1.44E+00 2.138E-01 9.719E-01 4.466E+01 3.857E+02 1.028E+01 2.320E-03 9.973E-03 5.83E-01  0.9927 2.102E-03 2.104E-03 1.964E-03
      10      0.53 1.92E-03 7.919E-02 5.864E-01 2.068E+01 1.360E+02  4.90E-02  4.08E-04  1.42E+00 2.117E-01 9.580E-01 4.366E+01 3.868E+02 9.683E+00 2.189E-03 9.530E-03 5.81E-01  0.9927 2.097E-03 2.099E-03 1.959E-03
      20      0.55 1.90E-03 7.732E-02 5.422E-01 2.011E+01 1.456E+02  4.71E-02  4.08E-04  1.39E+00 2.097E-01 9.372E-01 4.272E+01 4.047E+02 9.157E+00 2.069E-03 9.124E-03 5.84E-01  0.9926 2.093E-03 2.093E-03 1.953E-03
      30      0.57 1.89E-03 7.561E-02 5.939E-01 1.958E+01 1.357E+02  4.54E-02  4.08E-04  1.37E+00 2.078E-01 9.351E-01 4.185E+01 3.951E+02 8.699E+00 1.962E-03 8.755E-03 5.99E-01  0.9926 2.088E-03 2.088E-03 1.948E-03
      40      0.59 1.97E-03 7.398E-02 4.997E-01 1.907E+01 1.255E+02  4.38E-02  4.07E-04  1.34E+00 2.060E-01 8.939E-01 4.101E+01 3.707E+02 8.263E+00 1.862E-03 8.407E-03 5.20E-01  0.9925 2.084E-03 2.083E-03 1.942E-03
