#---it--------t-------dt-------urms------umax------orms------omax------oum------divu2m-----epsK-----rumax----rhom--
    1800    182.53 1.01E-01 2.036E-03 6.062E-03 1.684E-02 5.027E-02  2.88E-07 1.644E-09 2.837E-09 6.06E-03  1.0000
    1850    187.60 1.01E-01 2.022E-03 6.129E-03 1.671E-02 5.008E-02  2.78E-07 1.124E-09 2.792E-09 6.13E-03  1.0000
    1900    192.67 1.01E-01 2.008E-03 6.169E-03 1.658E-02 4.983E-02  2.69E-07 1.344E-09 2.749E-09 6.17E-03  1.0000
    1950    197.74 1.01E-01 1.994E-03 6.219E-03 1.645E-02 4.954E-02  2.60E-07 1.450E-09 2.706E-09 6.22E-03  1.0000
    2000    202.82 1.01E-01 1.981E-03 6.244E-03 1.632E-02 4.922E-02  2.52E-07 7.245E-10 2.664E-09 6.24E-03  1.0000
    2050    207.89 1.01E-01 1.968E-03 6.274E-03 1.620E-02 4.886E-02  2.44E-07 1.013E-09 2.624E-09 6.27E-03  1.0000
    2100    212.97 1.01E-01 1.955E-03 6.296E-03 1.607E-02 4.847E-02  2.36E-07 6.387E-10 2.584E-09 6.30E-03  1.0000
    2150    218.04 1.01E-01 1.942E-03 6.305E-03 1.595E-02 4.805E-02  2.29E-07 6.883E-10 2.545E-09 6.31E-03  1.0000
    2200    223.11 1.01E-01 1.930E-03 6.334E-03 1.583E-02 4.761E-02  2.22E-07 7.135E-10 2.507E-09 6.33E-03  1.0000
    2250    228.19 1.01E-01 1.917E-03 6.430E-03 1.571E-02 4.716E-02  2.15E-07 3.144E-10 2.470E-09 6.43E-03  1.0000
    2300    233.26 1.01E-01 1.905E-03 6.522E-03 1.560E-02 4.669E-02  2.08E-07 7.898E-10 2.433E-09 6.52E-03  1.0000
    2350    238.34 1.01E-01 1.892E-03 6.595E-03 1.548E-02 4.621E-02  2.02E-07 3.594E-10 2.397E-09 6.59E-03  1.0000
    2400    243.41 1.01E-01 1.880E-03 6.641E-03 1.537E-02 4.572E-02  1.96E-07 3.903E-10 2.362E-09 6.64E-03  1.0000
    2450    248.48 1.01E-01 1.868E-03 6.680E-03 1.526E-02 4.524E-02  1.91E-07 5.582E-10 2.328E-09 6.68E-03  1.0000
    2500    253.56 1.01E-01 1.856E-03 6.716E-03 1.515E-02 4.541E-02  1.85E-07 2.771E-10 2.294E-09 6.72E-03  1.0000
    2550    258.63 1.01E-01 1.845E-03 6.740E-03 1.504E-02 4.551E-02  1.80E-07 4.106E-10 2.261E-09 6.74E-03  1.0000
    2600    263.71 1.01E-01 1.833E-03 6.744E-03 1.493E-02 4.556E-02  1.75E-07 2.289E-10 2.229E-09 6.74E-03  1.0000
    2650    268.78 1.01E-01 1.822E-03 6.720E-03 1.482E-02 4.554E-02  1.71E-07 2.674E-10 2.197E-09 6.72E-03  1.0000
    2700    273.85 1.01E-01 1.810E-03 6.696E-03 1.472E-02 4.547E-02  1.67E-07 3.021E-10 2.166E-09 6.70E-03  1.0000
    2750    278.93 1.01E-01 1.799E-03 6.670E-03 1.461E-02 4.534E-02  1.63E-07 1.833E-10 2.135E-09 6.67E-03  1.0000
    2800    284.00 1.01E-01 1.788E-03 6.623E-03 1.451E-02 4.517E-02  1.59E-07 3.284E-10 2.105E-09 6.62E-03  1.0000
    2850    289.08 1.01E-01 1.777E-03 6.576E-03 1.441E-02 4.494E-02  1.55E-07 2.893E-10 2.076E-09 6.58E-03  1.0000
    2900    294.15 1.01E-01 1.766E-03 6.510E-03 1.431E-02 4.467E-02  1.52E-07 1.497E-10 2.047E-09 6.51E-03  1.0000
    2950    299.22 1.01E-01 1.755E-03 6.438E-03 1.421E-02 4.435E-02  1.49E-07 2.204E-10 2.018E-09 6.44E-03  1.0000
    3000    304.30 1.01E-01 1.744E-03 6.367E-03 1.411E-02 4.399E-02  1.46E-07 1.907E-10 1.990E-09 6.37E-03  1.0000
    3050    309.37 1.01E-01 1.733E-03 6.293E-03 1.401E-02 4.360E-02  1.44E-07 1.592E-10 1.963E-09 6.29E-03  1.0000
    3100    314.45 1.02E-01 1.723E-03 6.209E-03 1.391E-02 4.317E-02  1.42E-07 1.841E-10 1.936E-09 6.21E-03  1.0000
    3150    319.52 1.02E-01 1.712E-03 6.112E-03 1.382E-02 4.272E-02  1.40E-07 1.148E-10 1.910E-09 6.11E-03  1.0000
    3200    324.60 1.02E-01 1.702E-03 6.012E-03 1.373E-02 4.223E-02  1.38E-07 1.963E-10 1.884E-09 6.01E-03  1.0000
    3250    329.68 1.02E-01 1.692E-03 5.925E-03 1.363E-02 4.173E-02  1.36E-07 1.225E-10 1.858E-09 5.93E-03  1.0000
    3300    334.75 1.02E-01 1.682E-03 5.829E-03 1.354E-02 4.120E-02  1.35E-07 9.612E-11 1.833E-09 5.83E-03  1.0000
    3350    339.83 1.02E-01 1.672E-03 5.732E-03 1.345E-02 4.066E-02  1.34E-07 1.746E-10 1.809E-09 5.73E-03  1.0000
    3400    344.91 1.02E-01 1.662E-03 5.631E-03 1.336E-02 4.010E-02  1.33E-07 5.939E-11 1.784E-09 5.63E-03  1.0000
    3450    349.98 1.02E-01 1.652E-03 5.523E-03 1.327E-02 3.969E-02  1.32E-07 1.063E-10 1.761E-09 5.52E-03  1.0000
    3500    355.06 1.02E-01 1.642E-03 5.423E-03 1.318E-02 3.991E-02  1.31E-07 1.041E-10 1.737E-09 5.42E-03  1.0000
    3550    360.14 1.02E-01 1.632E-03 5.350E-03 1.309E-02 4.009E-02  1.31E-07 7.110E-11 1.714E-09 5.35E-03  1.0000
    3600    365.21 1.02E-01 1.623E-03 5.372E-03 1.301E-02 4.025E-02  1.30E-07 9.410E-11 1.692E-09 5.37E-03  1.0000
    3650    370.29 1.02E-01 1.613E-03 5.386E-03 1.292E-02 4.037E-02  1.30E-07 3.894E-11 1.669E-09 5.39E-03  1.0000
    3700    375.36 1.02E-01 1.604E-03 5.391E-03 1.283E-02 4.045E-02  1.30E-07 8.699E-11 1.647E-09 5.39E-03  1.0000
    3750    380.44 1.02E-01 1.595E-03 5.384E-03 1.275E-02 4.051E-02  1.30E-07 6.640E-11 1.626E-09 5.38E-03  1.0000
    3800    385.51 1.02E-01 1.585E-03 5.370E-03 1.267E-02 4.053E-02  1.30E-07 3.282E-11 1.605E-09 5.37E-03  1.0000
    3850    390.59 1.02E-01 1.576E-03 5.343E-03 1.258E-02 4.052E-02  1.30E-07 8.011E-11 1.584E-09 5.34E-03  1.0000
    3900    395.67 1.02E-01 1.567E-03 5.312E-03 1.250E-02 4.047E-02  1.30E-07 5.329E-11 1.563E-09 5.31E-03  1.0000
    3950    400.74 1.02E-01 1.558E-03 5.275E-03 1.242E-02 4.039E-02  1.30E-07 3.576E-11 1.543E-09 5.28E-03  1.0000
    4000    405.82 1.02E-01 1.549E-03 5.227E-03 1.234E-02 4.027E-02  1.30E-07 4.344E-11 1.523E-09 5.23E-03  1.0000
    4050    410.90 1.02E-01 1.540E-03 5.174E-03 1.226E-02 4.012E-02  1.30E-07 3.643E-11 1.504E-09 5.17E-03  1.0000
    4100    415.97 1.02E-01 1.532E-03 5.116E-03 1.218E-02 3.994E-02  1.30E-07 4.740E-11 1.484E-09 5.12E-03  1.0000
    4150    421.05 1.02E-01 1.523E-03 5.092E-03 1.211E-02 3.973E-02  1.30E-07 3.615E-11 1.465E-09 5.09E-03  1.0000
    4200    426.13 1.02E-01 1.514E-03 5.082E-03 1.203E-02 3.949E-02  1.30E-07 3.246E-11 1.447E-09 5.08E-03  1.0000
    4250    431.21 1.02E-01 1.506E-03 5.064E-03 1.195E-02 3.938E-02  1.30E-07 4.968E-11 1.428E-09 5.06E-03  1.0000
    4300    436.28 1.02E-01 1.497E-03 5.042E-03 1.187E-02 3.931E-02  1.30E-07 2.069E-11 1.410E-09 5.04E-03  1.0000
    4350    441.36 1.02E-01 1.489E-03 5.018E-03 1.180E-02 3.920E-02  1.30E-07 2.924E-11 1.392E-09 5.02E-03  1.0000
    4400    446.44 1.02E-01 1.481E-03 4.995E-03 1.173E-02 3.907E-02  1.30E-07 4.024E-11 1.375E-09 4.99E-03  1.0000
    4450    451.51 1.02E-01 1.473E-03 4.968E-03 1.165E-02 3.891E-02  1.29E-07 1.526E-11 1.357E-09 4.97E-03  1.0000
    4500    456.59 1.02E-01 1.464E-03 4.938E-03 1.158E-02 3.872E-02  1.29E-07 2.899E-11 1.340E-09 4.94E-03  1.0000
    4550    461.67 1.02E-01 1.456E-03 4.900E-03 1.151E-02 3.849E-02  1.28E-07 2.475E-11 1.324E-09 4.90E-03  1.0000
