  0.60712467171111717     
  6.47E-10  6.39E-09  2.89E-08  5.06E-08  1.07E-07  1.82E-07  2.12E-07  2.86E-07
  3.43E-07  4.61E-07  4.14E-07  3.98E-07  3.84E-07  3.51E-07  3.17E-07  2.47E-07
   1.1131026038652840     
  6.46E-10  6.39E-09  2.89E-08  5.05E-08  1.07E-07  1.82E-07  2.11E-07  2.86E-07
  3.42E-07  4.60E-07  4.12E-07  3.96E-07  3.82E-07  3.49E-07  3.14E-07  2.44E-07
   1.6190996088732206     
  6.46E-10  6.38E-09  2.89E-08  5.05E-08  1.07E-07  1.82E-07  2.11E-07  2.85E-07
  3.41E-07  4.59E-07  4.11E-07  3.94E-07  3.80E-07  3.46E-07  3.10E-07  2.43E-07
   2.1250771100765551     
  6.46E-10  6.37E-09  2.88E-08  5.04E-08  1.07E-07  1.82E-07  2.11E-07  2.85E-07
  3.41E-07  4.58E-07  4.10E-07  3.93E-07  3.78E-07  3.44E-07  3.08E-07  2.40E-07
   2.6310618503021908     
  6.46E-10  6.37E-09  2.88E-08  5.04E-08  1.07E-07  1.81E-07  2.10E-07  2.85E-07
  3.40E-07  4.57E-07  4.08E-07  3.91E-07  3.76E-07  3.42E-07  3.05E-07  2.37E-07
   3.1370941829635735     
  6.46E-10  6.36E-09  2.88E-08  5.03E-08  1.07E-07  1.81E-07  2.10E-07  2.84E-07
  3.39E-07  4.56E-07  4.07E-07  3.89E-07  3.74E-07  3.40E-07  3.03E-07  2.35E-07
   3.6432392106920140     
  6.46E-10  6.35E-09  2.87E-08  5.03E-08  1.07E-07  1.81E-07  2.10E-07  2.84E-07
  3.38E-07  4.55E-07  4.05E-07  3.88E-07  3.72E-07  3.38E-07  3.01E-07  2.33E-07
   4.1493319269714632     
  6.46E-10  6.35E-09  2.87E-08  5.02E-08  1.07E-07  1.81E-07  2.10E-07  2.84E-07
  3.38E-07  4.54E-07  4.04E-07  3.86E-07  3.70E-07  3.36E-07  2.98E-07  2.32E-07
   4.6554355713332525     
  6.45E-10  6.34E-09  2.87E-08  5.02E-08  1.07E-07  1.81E-07  2.09E-07  2.83E-07
  3.37E-07  4.53E-07  4.03E-07  3.85E-07  3.68E-07  3.34E-07  2.96E-07  2.28E-07
   5.1616790281879377     
  6.45E-10  6.34E-09  2.87E-08  5.01E-08  1.06E-07  1.80E-07  2.09E-07  2.83E-07
  3.36E-07  4.52E-07  4.01E-07  3.83E-07  3.67E-07  3.32E-07  2.94E-07  2.28E-07
   5.6679099706705074     
  6.45E-10  6.33E-09  2.86E-08  5.01E-08  1.06E-07  1.80E-07  2.09E-07  2.83E-07
  3.36E-07  4.50E-07  4.00E-07  3.82E-07  3.65E-07  3.30E-07  2.92E-07  2.24E-07
   6.1741906002068401     
  6.45E-10  6.32E-09  2.86E-08  5.01E-08  1.06E-07  1.80E-07  2.08E-07  2.83E-07
