     t         kpm        kmax       Hmax       ksec       Hsec        Hp         Hm         HHp       HHm        HH0      mu5rms    mu5rms_ts  mu5m_ts      EMag       HMag      xiMag      xiHel
1.15033e+01  0.00000e+00  2.00000e+01  0.00000e+00  8.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.99060e-03  3.47381e-06  3.32496e-02  4.47402e-02
1.20030e+01  0.00000e+00  2.00000e+01  0.00000e+00  8.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.92195e-03  3.47309e-06  3.36526e-02  4.52566e-02
1.25030e+01  0.00000e+00  2.00000e+01  0.00000e+00  8.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.85802e-03  3.46796e-06  3.40538e-02  4.57293e-02
1.30045e+01  0.00000e+00  2.00000e+01  0.00000e+00  3.00000e+01 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.79718e-03  3.46566e-06  3.44537e-02  4.61859e-02
1.35045e+01  0.00000e+00  2.00000e+01  0.00000e+00  3.00000e+01 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.73989e-03  3.46478e-06  3.48478e-02  4.65754e-02
1.40026e+01  0.00000e+00  2.00000e+01  0.00000e+00  3.00000e+01 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.68624e-03  3.46235e-06  3.52411e-02  4.69435e-02
1.45046e+01  0.00000e+00  2.00000e+01  0.00000e+00  3.00000e+01 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.63444e-03  3.45821e-06  3.56311e-02  4.72652e-02
1.50043e+01  0.00000e+00  2.00000e+01  0.00000e+00  3.00000e+01 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.58592e-03  3.45550e-06  3.60141e-02  4.75714e-02
1.55028e+01  0.00000e+00  2.00000e+01  0.00000e+00  3.00000e+01 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.54013e-03  3.45549e-06  3.63920e-02  4.78644e-02
1.60042e+01  0.00000e+00  2.00000e+01  0.00000e+00  3.00000e+01 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.49604e-03  3.45374e-06  3.67681e-02  4.81581e-02
