#---it--------t-------dt-------urms------umax------orms------omax------oum-------abm-------jbm-------brms------bmax------jrms------jmax-----divu2m-----epsK------epsM-----rumax----rhom-----bmx-------bmy-------bmz----
       0      0.00 1.43E-03 0.000E+00 0.000E+00 0.000E+00 0.000E+00  0.00E+00  1.50E-02  9.31E+00 7.681E-01 2.961E+00 1.227E+02 4.722E+02 0.000E+00 0.000E+00 7.530E-02 0.00E+00  1.0000 1.322E-01 1.391E-01 1.400E-01
      10      0.01 1.15E-03 2.574E-01 1.255E+00 5.551E+01 2.665E+02  1.71E+00  1.50E-02  4.63E+00 7.041E-01 2.349E+00 8.230E+01 5.711E+02 8.753E+02 2.148E-02 3.387E-02 2.22E+00  0.9985 1.322E-01 1.391E-01 1.400E-01
      20      0.02 1.17E-03 2.873E-01 1.293E+00 5.587E+01 2.562E+02  1.62E+00  1.50E-02  3.63E+00 6.799E-01 2.178E+00 8.044E+01 5.698E+02 6.830E+02 2.044E-02 3.235E-02 2.71E+00  0.9972 1.322E-01 1.391E-01 1.400E-01
      30      0.04 1.14E-03 2.990E-01 1.434E+00 5.459E+01 2.555E+02  1.45E+00  1.50E-02  3.14E+00 6.642E-01 2.307E+00 8.024E+01 6.148E+02 5.912E+02 1.911E-02 3.219E-02 3.13E+00  0.9959 1.321E-01 1.390E-01 1.400E-01
      40      0.05 1.16E-03 3.041E-01 1.322E+00 5.332E+01 2.728E+02  1.29E+00  1.50E-02  2.82E+00 6.526E-01 2.030E+00 8.020E+01 5.801E+02 5.243E+02 1.796E-02 3.216E-02 2.70E+00  0.9947 1.321E-01 1.390E-01 1.399E-01
      50      0.06 1.12E-03 3.060E-01 1.425E+00 5.206E+01 2.822E+02  1.15E+00  1.50E-02  2.56E+00 6.429E-01 2.023E+00 8.009E+01 6.027E+02 4.681E+02 1.689E-02 3.207E-02 2.53E+00  0.9936 1.320E-01 1.390E-01 1.399E-01
      60      0.07 1.18E-03 3.062E-01 1.373E+00 5.086E+01 2.828E+02  1.02E+00  1.50E-02  2.34E+00 6.346E-01 1.989E+00 7.987E+01 6.308E+02 4.206E+02 1.593E-02 3.189E-02 2.90E+00  0.9926 1.320E-01 1.389E-01 1.399E-01
      70      0.08 1.16E-03 3.052E-01 1.359E+00 4.974E+01 2.648E+02  9.16E-01  1.50E-02  2.16E+00 6.272E-01 1.875E+00 7.955E+01 6.465E+02 3.810E+02 1.508E-02 3.164E-02 2.80E+00  0.9917 1.319E-01 1.389E-01 1.399E-01
      80      0.09 1.17E-03 3.035E-01 1.424E+00 4.870E+01 2.664E+02  8.26E-01  1.50E-02  2.01E+00 6.207E-01 1.862E+00 7.915E+01 7.688E+02 3.476E+02 1.432E-02 3.133E-02 2.50E+00  0.9909 1.318E-01 1.388E-01 1.398E-01
      90      0.10 1.17E-03 3.013E-01 1.389E+00 4.767E+01 2.795E+02  7.47E-01  1.50E-02  1.87E+00 6.146E-01 1.768E+00 7.868E+01 7.213E+02 3.172E+02 1.360E-02 3.095E-02 2.79E+00  0.9900 1.317E-01 1.387E-01 1.398E-01
     100      0.12 1.17E-03 2.988E-01 1.379E+00 4.672E+01 2.731E+02  6.80E-01  1.50E-02  1.75E+00 6.091E-01 1.782E+00 7.816E+01 6.641E+02 2.911E+02 1.296E-02 3.055E-02 2.56E+00  0.9893 1.317E-01 1.387E-01 1.398E-01
     110      0.13 1.13E-03 2.961E-01 1.500E+00 4.583E+01 2.810E+02  6.22E-01  1.50E-02  1.65E+00 6.041E-01 1.776E+00 7.763E+01 6.929E+02 2.692E+02 1.238E-02 3.013E-02 2.41E+00  0.9886 1.316E-01 1.386E-01 1.397E-01
     120      0.14 1.18E-03 2.932E-01 1.588E+00 4.496E+01 3.133E+02  5.70E-01  1.50E-02  1.55E+00 5.993E-01 1.751E+00 7.705E+01 7.927E+02 2.486E+02 1.184E-02 2.968E-02 2.29E+00  0.9880 1.315E-01 1.386E-01 1.397E-01
     130      0.15 1.18E-03 2.901E-01 1.512E+00 4.411E+01 2.798E+02  5.22E-01  1.50E-02  1.47E+00 5.947E-01 1.839E+00 7.645E+01 8.527E+02 2.295E+02 1.132E-02 2.922E-02 2.50E+00  0.9873 1.314E-01 1.385E-01 1.397E-01
     140      0.16 1.21E-03 2.869E-01 1.445E+00 4.331E+01 2.900E+02  4.81E-01  1.50E-02  1.39E+00 5.904E-01 1.768E+00 7.584E+01 8.425E+02 2.130E+02 1.084E-02 2.876E-02 2.63E+00  0.9868 1.313E-01 1.384E-01 1.396E-01
     150      0.17 1.12E-03 2.839E-01 1.676E+00 4.259E+01 3.086E+02  4.47E-01  1.50E-02  1.33E+00 5.866E-01 1.729E+00 7.528E+01 9.039E+02 1.995E+02 1.043E-02 2.833E-02 2.28E+00  0.9863 1.312E-01 1.384E-01 1.396E-01
     160      0.18 1.08E-03 2.811E-01 1.948E+00 4.194E+01 3.351E+02  4.17E-01  1.50E-02  1.27E+00 5.831E-01 1.956E+00 7.474E+01 8.595E+02 1.883E+02 1.007E-02 2.793E-02 2.11E+00  0.9858 1.312E-01 1.383E-01 1.396E-01
     170      0.19 1.15E-03 2.780E-01 1.662E+00 4.129E+01 3.219E+02  3.89E-01  1.50E-02  1.22E+00 5.797E-01 1.916E+00 7.418E+01 8.489E+02 1.771E+02 9.716E-03 2.751E-02 2.25E+00  0.9853 1.311E-01 1.383E-01 1.395E-01
     180      0.21 1.13E-03 2.749E-01 1.521E+00 4.065E+01 3.554E+02  3.63E-01  1.50E-02  1.17E+00 5.764E-01 1.938E+00 7.361E+01 8.520E+02 1.665E+02 9.375E-03 2.709E-02 2.43E+00  0.9849 1.310E-01 1.382E-01 1.395E-01
     190      0.22 1.05E-03 2.718E-01 2.017E+00 4.002E+01 3.317E+02  3.39E-01  1.50E-02  1.12E+00 5.732E-01 1.892E+00 7.303E+01 9.613E+02 1.564E+02 9.044E-03 2.666E-02 2.20E+00  0.9845 1.309E-01 1.381E-01 1.395E-01
